E03_id;E06_id_001;id;creatorType;creatorID;creator;E06_title;title;holder_IRI;library;contentType;refCode;representationType;language;publishingPlace_id;publishingPlace;publisherID;publisherType;publisher;publishingDate
E03_105138280099;E06_105138280099_001;105138280099;;;;Instantiation - Bürgerspital Zug : alter Chirurgietrakt;Bürgerspital Zug : alter Chirurgietrakt;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBq 369;Buch;Deutsch;Q14274;Aarau ;http://example.org/base/Krankenhausinstitut;CorporateBody;Krankenhausinstitut;1980
E03_103048954099;E06_103048954099_001;103048954099;;;;Instantiation - Chönd Sie sich erinnere? : ehemalige Angestellte der Metallwarenfabrik Zug erzählen von ihrer Arbeit (1920 - 1975) (Benutzung vor Ort, 4. OG (digitalisierte Filmdatei));Chönd Sie sich erinnere? : ehemalige Angestellte der Metallwarenfabrik Zug erzählen von ihrer Arbeit (1920 - 1975) (Benutzung vor Ort, 4. OG (digitalisierte Filmdatei));https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;T-Video;TV 123;Sonstiges Material;Schweizerdeutsch;Q64087;Baar ;http://example.org/base/VAM;CorporateBody;VAM;1998
E03_464914000000;E06_464914343628_001;464914000000;Person;http://example.org/base/Baselgia, Guido;Baselgia, Guido;Instantiation - Metalli Areal : Fotografien;Metalli Areal : Fotografien;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 55.1997;Artikel;Deutsch;Q64087;Baar ;http://example.org/base/Baselgia;CorporateBody;Baselgia;1991
E03_108224520099;E06_108224520099_001;108224520099;Person;https://www.wikidata.org/wiki/Q2145516;Strehle, Res;Instantiation - Operation Crypto : die Schweiz im Dienst von CIA und BND;Operation Crypto : die Schweiz im Dienst von CIA und BND;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;T 9776;Buch;Deutsch;Q78;Basel ;https://www.wikidata.org/wiki/Q1281210;CorporateBody;Echtzeit Verlag;2020
E03_ZUG00100000466;E06_ZUG00100000466_001;ZUG00100000466;Person;http://example.org/base/Pfister, Martin;Pfister, Martin;Instantiation - Die Wahl von Philipp Etter in den Bundesrat 1934 : Ereignisse, Ideologien, soziales Umfeld;Die Wahl von Philipp Etter in den Bundesrat 1934 : Ereignisse, Ideologien, soziales Umfeld;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBq 4290;Buch;Deutsch;Q2833;Freiburg/Waldkirch ;http://example.org/base/Martin Pfister;CorporateBody;Martin Pfister;1995
E03_107008493099;E06_107008493099_001;107008493099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;Instantiation - Zug;Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;Tq 3195;Buch;Deutsch;Q71;Genf ;http://example.org/base/Editions Générales;CorporateBody;Editions Générales;1961
E03_105026943099;E06_105026943099_001;105026943099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;Instantiation - Geistige Landesverteidigung;Geistige Landesverteidigung;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATB 2534 ;Buch;Deutsch;Q484512;Immensee ;http://example.org/base/Calendaria;CorporateBody;Calendaria;1937
E03_108003103099;E06_108003103099_001;108003103099;Person;http://example.org/base/Pfeiffer, Michel;Pfeiffer, Michel;Instantiation - Der Bildbestand der Stadt- und Kantonsbibliothek Zug;Der Bildbestand der Stadt- und Kantonsbibliothek Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;T 9686;Buch;Deutsch;Q1027;Mauritius ;http://example.org/base/AV Akademikerverlag;CorporateBody;AV Akademikerverlag;2017
E03_100616101099;E06_100616101099_001;100616101099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;Instantiation - Die schweizerische Demokratie;Die schweizerische Demokratie;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 1167;Buch;Deutsch;Q68129;Olten ;https://www.wikidata.org/wiki/Q1638467;CorporateBody;Walter;1934
E03_105022268099;E06_105022268099_001;105022268099;;;;Instantiation - Zug in alten Ansichten 2003;Zug in alten Ansichten 2003;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBf 40;Buch;Deutsch;Q68129;Olten ;https://www.wikidata.org/wiki/Q883522;CorporateBody;Weltbild;2002
E03_106255861099;E06_106255861099_001;106255861099;Person;http://example.org/base/Steiner, Hermann;Steiner, Hermann;Instantiation - Der Kanton Zug und seine Fotografen, 1850-2000 : auch ein Stück Kulturgeschichte;Der Kanton Zug und seine Fotografen, 1850-2000 : auch ein Stück Kulturgeschichte;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;Tq 7078;Buch;Deutsch;Q66604;Rotkreuz ;http://example.org/base/Zürcher;CorporateBody;Zürcher;2000
E03_105140566099;E06_105140566099_001;105140566099;Person;http://example.org/base/Stocklin, Tony;Stocklin, Tony;Instantiation - Alte Aufnahmen im Kanton Zug;Alte Aufnahmen im Kanton Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;AT 9513;Buch;Deutsch;Q66697;Steinhausen ;http://example.org/base/Stocklin;Person;Stocklin;2017
E03_107977797099;E06_107977797099_001;107977797099;Person;http://example.org/base/Stocklin, Tony;Stocklin, Tony;Instantiation - Alte Aufnahmen im Kanton Zug;Alte Aufnahmen im Kanton Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;T 9513;Buch;Deutsch;Q66697;Steinhausen ;http://example.org/base/Stocklin;Person;Stocklin;2017
E03_105034867099;E06_105034867099_001;105034867099;;;;"Instantiation - Wohnhäuser in Zug, das kantonale Verwaltungsgebäude in Zug, das Sanatorium ""Adelheid"" bei Unter-Aegeri (Kt. Zug), Raumausstattungen";"Wohnhäuser in Zug, das kantonale Verwaltungsgebäude in Zug, das Sanatorium ""Adelheid"" bei Unter-Aegeri (Kt. Zug), Raumausstattungen";https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBq 2506;Buch;Deutsch;Q1022;Stuttgart ;http://example.org/base/Hoffmann;CorporateBody;Hoffmann;1915
E03_400187400099;E06_400187400099_001;400187400099;Person;http://example.org/base/Steiner, Hermann;Steiner, Hermann;Instantiation - Zugs erste Fotografin : Jungfer Katharina Weiss (1834-1911);Zugs erste Fotografin : Jungfer Katharina Weiss (1834-1911);https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 8/147;Buch;Deutsch;;;;;;2002
E03_242840000000;E06_242839713099_001;242840000000;Person;http://example.org/base/Schürpf, Markus;Schürpf, Markus;Instantiation - Zug im Bild : Streifzug durch 150 Jahre Zuger Fotografiegeschichte;Zug im Bild : Streifzug durch 150 Jahre Zuger Fotografiegeschichte;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 297.2012;Artikel;Deutsch;;;;;;2012
E03_440783000000;E06_440783133835_001;440783000000;Person;http://example.org/base/Thalmann, Eugen;Thalmann, Eugen;Instantiation - Vom Baarer Schlittschuhclub zum EVZ : Zuger Markenzeichen mit Baarer Wurzeln;Vom Baarer Schlittschuhclub zum EVZ : Zuger Markenzeichen mit Baarer Wurzeln;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PT 204.2001;Artikel;Deutsch;;;;;;2002
E03_100862737099;E06_100862737099_001;100862737099;;;;Instantiation - Vom Kornhaus über die Kaserne zur neuen Bibliothek : geglückter Umbau in der Stadt Zug;Vom Kornhaus über die Kaserne zur neuen Bibliothek : geglückter Umbau in der Stadt Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 826;Buch;Deutsch;;;;;;1987
E03_105130916099;E06_105130916099_001;105130916099;Person;https://hls-dhs-dss.ch/de/articles/042168/2014-11-26/;Keiser, Dagobert;Instantiation - Das Neustadt-Schulhaus in Zug;Das Neustadt-Schulhaus in Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBq 3956;Buch;Deutsch;;;;;;1911
E03_105143554099;E06_105143554099_001;105143554099;Person;https://www.wikidata.org/wiki/Q28168561;Hegglin, Walther A.;Instantiation - Das neue Theater-Casino in Zug;Das neue Theater-Casino in Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBq 607;Buch;Deutsch;;;;;;1982
E03_105144410099;E06_105144410099_001;105144410099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;"Instantiation - ""Wir spüren die Grösse der Stunde : (die 1.-August-Ansprache von Bundesrat Philipp Etter 1942 wurde zum Appell an den Durchhaltewillen der Schweizer)";"""Wir spüren die Grösse der Stunde : (die 1.-August-Ansprache von Bundesrat Philipp Etter 1942 wurde zum Appell an den Durchhaltewillen der Schweizer)";https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBf 78;Buch;Deutsch;;;;;;1992
E03_400091745099;E06_400091745099_001;400091745099;Person;http://example.org/base/Zobrist, Margrith;Zobrist, Margrith;"Instantiation - ""Einige stich und exemplaria"" : Abbildungen in den ältesten Zuger Drucken";"""Einige stich und exemplaria"" : Abbildungen in den ältesten Zuger Drucken";https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 15/29;Artikel;Deutsch;;;;;;2013
E03_400140478099;E06_400140478099_001;400140478099;Person;http://example.org/base/Dändliker, Paul;Dändliker, Paul;Instantiation - Aus der Baugeschichte unserer Schulhäuser : I. Marktgasse;Aus der Baugeschichte unserer Schulhäuser : I. Marktgasse;https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 9/5;Buch;Deutsch;;;;;;1956
E03_400149512099;E06_400149512099_001;400149512099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;Instantiation - 1531-1931 : Die Schlacht am Gubel und ihre Bedeutung für die kath. Schweiz : Gedenkblätter auf die Vierhundertjahr-Feier der Schlacht am 23. Oktober 1531;1531-1931 : Die Schlacht am Gubel und ihre Bedeutung für die kath. Schweiz : Gedenkblätter auf die Vierhundertjahr-Feier der Schlacht am 23. Oktober 1531;https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 10/11;Buch;Deutsch;;;;;;1931
E03_400154716099;E06_400154716099_001;400154716099;Person;http://example.org/base/Speck, Michael;Speck, Michael;Instantiation - Seegfrörni im Jahre 1684;Seegfrörni im Jahre 1684;https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 10/35;Buch;Deutsch;;;;;;1955
E03_400175249099;E06_400175249099_001;400175249099;;;;Instantiation - Kurzberichte: Baar, General-Andermatt-Haus, Schwesternhaus, Schulhaus Marktgasse und Rathus-Schüür : Umgebungsgestaltung;Kurzberichte: Baar, General-Andermatt-Haus, Schwesternhaus, Schulhaus Marktgasse und Rathus-Schüür : Umgebungsgestaltung;https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 15/24;Buch;Deutsch;;;;;;2008
E03_400186276099;E06_400186276099_001;400186276099;;;;Instantiation - Seegfrörni in alter Zeit [1880];Seegfrörni in alter Zeit [1880];https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 8/125;Buch;Deutsch;;;;;;1980
E03_400195241099;E06_400195241099_001;400195241099;Person;http://example.org/base/Brunner, Josef;Brunner, Josef;Instantiation - Die 150-Jahrfeier der Theater- und Musikgesellschaft;Die 150-Jahrfeier der Theater- und Musikgesellschaft;https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 11/79;Buch;Deutsch;;;;;;1960
E03_400197472099;E06_400197472099_001;400197472099;Person;http://example.org/base/Grünenfelder, Josef;Grünenfelder, Josef;Instantiation - Der Bau des Theater-Casino in Zug 1905-1909 [mit Lebenslauf von Architekt Dagobert Keiser 1879-1959];Der Bau des Theater-Casino in Zug 1905-1909 [mit Lebenslauf von Architekt Dagobert Keiser 1879-1959];https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 11/100;Buch;Deutsch;;;;;;1981
E03_400197584099;E06_400197584099_001;400197584099;Person;http://example.org/base/Kamm-Kyburz, Christine;Kamm-Kyburz, Christine;Instantiation - Das neue Theater-Casino als ein Beispiel zeitgenössischer Architektur;Das neue Theater-Casino als ein Beispiel zeitgenössischer Architektur;https://www.wikidata.org/wiki/Q14848231;Staatsarchiv Zug;Benutzung vor Ort;B 11/101;Buch;Deutsch;;;;;;1982
E03_ZUG00100000937;E06_ZUG00100000937_001;ZUG00100000937;Person;https://www.wikidata.org/wiki/Q95232803;Zaugg, Thomas;Instantiation - Der Privatnachlass von Bundesrat Philipp Etter (1891-1977) : Bestandesgeschichte, Inhaltsbeschreibung, Forschungsperspektiven;Der Privatnachlass von Bundesrat Philipp Etter (1891-1977) : Bestandesgeschichte, Inhaltsbeschreibung, Forschungsperspektiven;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 297.2018;Artikel;Deutsch;;;;;;2018
