B_E03_id;E03_type;B_E06_id;E06_type;id;superordinate;levelOfDescription;signature;E06_title;title;publisher_ID;publisherEntityType;publisher;scopeAndContent;representationType;creationDate;extent;contentType;creator_id;creatorType;creator;carrierExtent;E22_place_Id;E22_Place_Name
B_E03_180000;RecordSet;B_E06_180000_001;Instantiation;180000;;Bestand;TD;Instantiation of - Zuger Sammlung;Zuger Sammlung;;;;;;Undatiert;;;;;;;;
B_E03_185846;RecordSet;B_E06_185846_001;Instantiation;185846;E03_180000;Bestand;TD_2;Instantiation of - Zuger Bildarchiv;Zuger Bildarchiv;;;;;Foto (Analog), Foto (Digitalisiert);1860 - ;;Bild;;;;;;
B_E03_82279;RecordSet;B_E06_82279_001;Instantiation;82279;E03_185846;Bestand;TD_22;Instantiation of - Postkartensammlung;Postkartensammlung;;;;;Foto (Analog), Foto (Digitalisiert);1885 - 2003;;Ansichtskarte;;;;;;
B_E03_166384;RecordSet;B_E06_166384_001;Instantiation;166384;E03_82279;Einzelstück;TD_22_00441;Instantiation of - Metallwaren Fabrik Zug;Metallwaren Fabrik Zug;;;;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166424;RecordSet;B_E06_166424_001;Instantiation;166424;E03_82279;Einzelstück;TD_22_00451;Instantiation of - (Hotel Ochsen mit Brunnen im Winter);(Hotel Ochsen mit Brunnen im Winter);;;;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166436;RecordSet;B_E06_166436_001;Instantiation;166436;E03_82279;Einzelstück;TD_22_00454;Instantiation of - Zug Hotel Ochsen, Kolinplatz;Zug Hotel Ochsen, Kolinplatz;https://www.foto-ch.ch/?a=fotograph&id=29468;Person;W. Wyss, Zug ;Farbe: farbig Text: ja;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1916;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166448;RecordSet;B_E06_166448_001;Instantiation;166448;E03_82279;Einzelstück;TD_22_00457;Instantiation of - Zug, Hotel Ochsen : Kolinplatz;Zug, Hotel Ochsen : Kolinplatz;https://www.foto-ch.ch/?a=fotograph&id=29546;Person;H. Grau, Zug ;Fotograf: H. Grau, Zug Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166452;RecordSet;B_E06_166452_001;Instantiation;166452;E03_82279;Einzelstück;TD_22_00458;Instantiation of - Zug, Hotel Ochsen : Kolinplatz;Zug, Hotel Ochsen : Kolinplatz;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;Zug Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1933;;Ansichtskarte;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166456;RecordSet;B_E06_166456_001;Instantiation;166456;E03_82279;Einzelstück;TD_22_00459;Instantiation of - Zug, Hotel Ochsen : Kolinplatz;Zug, Hotel Ochsen : Kolinplatz;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;Zug Farbe: s/w Text: ja;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1941;;Ansichtskarte;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166460;RecordSet;B_E06_166460_001;Instantiation;166460;E03_82279;Einzelstück;TD_22_00460;Instantiation of - Zug, Hotel Ochsen : Kolinplatz;Zug, Hotel Ochsen : Kolinplatz;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;Zug Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1941;;Ansichtskarte;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166464;RecordSet;B_E06_166464_001;Instantiation;166464;E03_82279;Einzelstück;TD_22_00461;Instantiation of - Hotel Ochsen, Zug;Hotel Ochsen, Zug;;Person;L.M. Kohler, Bern ;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166468;RecordSet;B_E06_166468_001;Instantiation;166468;E03_82279;Einzelstück;TD_22_00462;Instantiation of - Hotel Restaurant Ochsen, Zug;Hotel Restaurant Ochsen, Zug;;Person;L.M. Kohler, Bern ;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166496;RecordSet;B_E06_166496_001;Instantiation;166496;E03_82279;Einzelstück;TD_22_00469;Instantiation of - Zug - Kolin oder Ochsenplatz;Zug - Kolin oder Ochsenplatz;;;;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;https://www.wikidata.org/wiki/Q111594077;Person;J.M. Weber-Strebel;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166500;RecordSet;B_E06_166500_001;Instantiation;166500;E03_82279;Einzelstück;TD_22_00470;Instantiation of - Zug : Kolin oder Ochsenplatz;Zug : Kolin oder Ochsenplatz;;;;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;https://www.wikidata.org/wiki/Q111594077;Person;J.M. Weber-Strebel;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166512;RecordSet;B_E06_166512_001;Instantiation;166512;E03_82279;Einzelstück;TD_22_00473;Instantiation of - Zug. Kolinplatz mit Hotel Ochsen;Zug. Kolinplatz mit Hotel Ochsen;https://www.foto-ch.ch/?a=fotograph&id=33770;CorporateBody;Edition Guggenheim, Zürich ;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166520;RecordSet;B_E06_166520_001;Instantiation;166520;E03_82279;Einzelstück;TD_22_00475;Instantiation of - City-Hotel Ochsen Zug;City-Hotel Ochsen Zug;;CorporateBody;Kalt-Zehnder, Zug ;Fotograf: keine Angabe Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166528;RecordSet;B_E06_166528_001;Instantiation;166528;E03_82279;Einzelstück;TD_22_00477;Instantiation of - Hotel-Restaurant Ochsen Zug;Hotel-Restaurant Ochsen Zug;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1953;;Ansichtskarte;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166532;RecordSet;B_E06_166532_001;Instantiation;166532;E03_82279;Einzelstück;TD_22_00478;Instantiation of - Schweiz - Suisse - Switzerland : Zug : Kolinplatz mit Brunnen, Stadthaus, Hotel Ochsen;Schweiz - Suisse - Switzerland : Zug : Kolinplatz mit Brunnen, Stadthaus, Hotel Ochsen;https://www.wikidata.org/wiki/Q85724891;;Photoglob, Zürich ;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166544;RecordSet;B_E06_166544_001;Instantiation;166544;E03_82279;Einzelstück;TD_22_00481;Instantiation of - Hotel Restaurant Ochsen Zug;Hotel Restaurant Ochsen Zug;;CorporateBody;Kalt-Zehnder, Zug ;Fotograf: Grau, Zug Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_166564;RecordSet;B_E06_166564_001;Instantiation;166564;E03_82279;Einzelstück;TD_22_00486;Instantiation of - Metallwaren-Fabrik Zug;Metallwaren-Fabrik Zug;;;;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167193;RecordSet;B_E06_167193_001;Instantiation;167193;E03_82279;Einzelstück;TD_22_00643;Instantiation of - Zug : Hotel Ochsen : Kolinplatz;Zug : Hotel Ochsen : Kolinplatz;;CorporateBody;Wyss Erben, Zug ;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167201;RecordSet;B_E06_167201_001;Instantiation;167201;E03_82279;Einzelstück;TD_22_00645;Instantiation of - Zug : Collinplatz mit Hôtel Ochsen;Zug : Collinplatz mit Hôtel Ochsen;;;;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167213;RecordSet;B_E06_167213_001;Instantiation;167213;E03_82279;Einzelstück;TD_22_00648;Instantiation of - Zug : Hotel Ochsen;Zug : Hotel Ochsen;https://www.wikidata.org/wiki/Q85724891;;Photoglob, Zürich ;Farbe: s/w Text: ja;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1901;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167237;RecordSet;B_E06_167237_001;Instantiation;167237;E03_82279;Einzelstück;TD_22_00654;Instantiation of - Zug : Hotel Ochsen : Kolinplatz;Zug : Hotel Ochsen : Kolinplatz;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1939;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167265;RecordSet;B_E06_167265_001;Instantiation;167265;E03_82279;Einzelstück;TD_22_00661;Instantiation of - Zug : Kolinplatz mit Brunnen, Stadthaus, Hotel Ochsen : Schweiz / Suisse / Switzerland;Zug : Kolinplatz mit Brunnen, Stadthaus, Hotel Ochsen : Schweiz / Suisse / Switzerland;https://www.wikidata.org/wiki/Q85724891;;Photoglob, Zürich ;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167711;RecordSet;B_E06_167711_001;Instantiation;167711;E03_82279;Einzelstück;TD_22_00772;Instantiation of - Bürgerspital in Zug;Bürgerspital in Zug;;;;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;https://www.wikidata.org/wiki/Q111594077;Person;J.M. Weber-Strebel;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167767;RecordSet;B_E06_167767_001;Instantiation;167767;E03_82279;Einzelstück;TD_22_00786;Instantiation of - Zug : Bürgerspital;Zug : Bürgerspital;;;;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;https://www.wikidata.org/wiki/Q111594077;Person;J.M. Weber-Strebel;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167811;RecordSet;B_E06_167811_001;Instantiation;167811;E03_82279;Einzelstück;TD_22_00797;Instantiation of - Bürgerspital, Zug;Bürgerspital, Zug;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau, Zug ;Fotograf: Eugen Grau, Zug Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1949;;Ansichtskarte;https://www.foto-ch.ch/?a=fotograph&id=29547;Person;Eugen Grau;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_167819;RecordSet;B_E06_167819_001;Instantiation;167819;E03_82279;Einzelstück;TD_22_00799;Instantiation of - Flugaufnahme Bürgerspital Zug;Flugaufnahme Bürgerspital Zug;http://example.org/base/J. Gaberell, Thalwil ;Person;J. Gaberell, Thalwil ;Fotograf: keine Angabe Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_168550;RecordSet;B_E06_168550_001;Instantiation;168550;E03_82279;Einzelstück;TD_22_00981;Instantiation of - Gruss aus Menzingen (Besitzer: Clemens Hegglin z. Ochsen);Gruss aus Menzingen (Besitzer: Clemens Hegglin z. Ochsen);;;;Farbe: s/w Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;;;;;https://www.wikidata.org/wiki/Q66050;Menzingen
B_E03_178773;RecordSet;B_E06_178773_001;Instantiation;178773;E03_82279;Einzelstück;TD_22_01038;Instantiation of - Gruss aus Neuheim : Ct. Zug : Kirche, Gasthaus z. Ochsen, Schulhaus;Gruss aus Neuheim : Ct. Zug : Kirche, Gasthaus z. Ochsen, Schulhaus;;;;Farbe: farbig Text: nein;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);Undatiert;;Ansichtskarte;https://www.wikidata.org/wiki/Q111594077;Person;J.M. Weber-Strebel;;https://www.wikidata.org/wiki/Q65986;Neuheim
