E06_001_invnr;rdfs:type;invnr;title;creationDate;carrierExtent;inscription;productionTechnique;quality;rico:OwnershipRelation
A_E06_001_15054;Instantiation;15054;Fotografie der Ostfassade der heutigen Stadt- und Kantonsbibliothek, ehemals Kornhaus, dann Kaserne;um 1900 ;Objektmass (H x B x T): 16.3 x 22.3 cm;Inschrift: auf RS Stempel: J. M. Weber-Strebel, Zug;schw. - weiss Fotografie, auf Karton geklebt;Zustand: fleckig;https://www.wikidata.org/wiki/Q27490186
A_E06_001_3607;Instantiation;3607;"Gaumertafel der Nachbarschaft Unteraltstadt/Kornmarkt und der Nachbarschaft Weinmarkt; Nachbarschaftstafel, Gaumettafel ";1680;Rahmenmass (H x B x T): 35.2 x 20.3 cm;"Inschrift: ""5 Der Korn Märckt"" (oben auf Vorderseite = Kornmarkt); Inschrift: ""Der Wein Märckt / 1680"" (oben auf Rückseite = Weinmarkt); Inschrift: Renoviert / 1773 (Rückseite= Weinmarkt, obere Hälfte links auf Hausfassade)";Öl / Tempera auf Holz;Zustand: gut;https://www.wikidata.org/wiki/Q27490186
A_E06_001_15054;Instantiation;15054;Fotografie der Ostfassade der heutigen Stadt- und Kantonsbibliothek, ehemals Kornhaus, dann Kaserne;um 1900 ;Objektmass (H x B x T): 16.3 x 22.3 cm;Inschrift: auf RS Stempel: J. M. Weber-Strebel, Zug;schw. - weiss Fotografie, auf Karton geklebt;Zustand: fleckig;https://www.wikidata.org/wiki/Q27490186
A_E06_001_4076;Instantiation;4076;"Postkarte, Ansichten von Zug (5 Fotografien/Postkarten); 5 Postkarten, 3 x Seegfrörni 1929 Zug, 1 x Seegfrörni 1963 Zug, 1 x Flugaufnahme Zug";1929 - 1963 ;;"Inschrift: März 1929  Zug (Auf drei Postkarten, oben links); Inschrift: Seegfrörni 1963 (Auf einer Postkarte, mittig)";"Fotodruck; Bromsilber";Zustand: Gut;https://www.wikidata.org/wiki/Q27490186
A_E06_001_4136;Instantiation;4136;Fotografie, Seegfrörni in Zug (Frau Mariani) vom März 1929 (Seegfrörni 1929 in Zug);Mär 29;Objektmass (H x B x T): 25.0 x 37.3 cm;;"Fotodruck; Bromsilber";Zustand: Links ein Fixierflecken;https://www.wikidata.org/wiki/Q27490186
A_E06_001_11374;Instantiation;11374;Fotografie, Ansicht der Zuger Altstadt vom zugefrorenen See aus (Seegfrörni 1929 in Zug);1929;"Bildmass: 16.7 x 23.5 cm; Rahmenmass (H x B x T): 33.7 x 40.7 cm";;Schwarzweissfoto;Zustand: leicht verblichen;https://www.wikidata.org/wiki/Q27490186
A_E06_001_18451;Instantiation;18451;Ansichtskarte, Familien Kleimann und Spillmann auf dem gefrorenen Zugersee (Seegfrörni 1929 in Zug);1929;Objektmass (H x B x T): 8.5 x 13.5 cm;"Inschrift: ""1929 / Alois und Berta Kleimann / Kinder: Werner & Elseli / (links Coiffeur Spillmann / mit Frau und Knaben)""";"s/w-Fotografie auf Papier; Druck; Handschrift";"Zustand Kurz: leicht knittrig und fleckig; Zustand: leicht knittrig und fleckig";https://www.wikidata.org/wiki/Q27490186
A_E06_001_3310;Instantiation;3310;Buch, 150 Jahre Theater- und Musikgesellschaft Zug, Festschrift 1809-1959;1959;Objektmass (H x B x T): Keine Angaben auf der Karteikarte;;Papier;Zustand: Gut;https://www.wikidata.org/wiki/Q27490186
A_E06_001_3314;Instantiation;3314;"Fotografie, Aufführung ""Zigeunerbaron"" der Theater und Musikgesellschaft Zug";1959;Objektmass (H x B x T): 18.0 x 24.0 cm;;"Fotografie; Bromsilber";Zustand: Gut;https://www.wikidata.org/wiki/Q27490186
A_E06_001_11728;Instantiation;11728;Bühne im Theater Casino Zug;um 1910 ;Blattmass: 19.8 x 19.7 cm;"Signatur: ""Ph. & E. Link / Zürich."" (Vorderseite, unten rechts)";Schwarzweissfoto, Neuabzug;Zustand: gut;https://www.wikidata.org/wiki/Q27490186
